Journal,Abbreviation,Society,Publisher,Policy Description,Policy short,Date policy took effect,Integrated into Dryad?,Date of Dryad integration,Data Policy URLs,Comment
new journal?,,Infectious Diseases Society of America (IDSA),,,,,,,,
Nucleic Acids Research,,none,OUP,early adopters of data archiving,,,,,,
Oecologia,Oecologia,none,Springer,none,None,-,,,http://www.springer.com/life+sciences/ecology/journal/442?detailsPage=aboutThis,
Oikos,Oikos,Nordic Ecological Society,Wiley-Blackwell,Requires data archiving,Required,<06.03.2014,,,http://www.oikosjournal.org/authors/author-guidelines  http://blog.datadryad.org/2014/12/02/four-newly-sponsored-journals-from-nordic-society-oikos/,"- archive.org has no snapshots of the journal's homepage before Mar 2014, and the earliest snapshot requires data archiving."
Palaeontology,,The Palaeontological Association,Wiley-Blackwell,,,,,,,
Paleobiology,Paleobiology,Paleontological Society,Paleontological Society,"Requires data archiving according to the first link, but no mention of it in the second link",Unclear,?,Y,10/12/2011,http://blog.datadryad.org/2012/03/28/fossil-preservation/ http://journals.cambridge.org/action/displaySpecialPage?pageId=6836 http://www.nature.com/news/2011/110411/full/472150a.html,"I couldn't find the actual policy. Requires data archiving according to the first link, but no mention of it in the second link. The third link contains the date."
Parasites and Vectors,,,BMC,,,,,,,
Pathogenetics,,,BMC,,,,,,,
PLoS Biology,PLoS. Biol.,,PLoS,Requires data archiving,Required,12.10.2014-14.11.2014,,,http://www.plosbiology.org/static/guidelines#datareporting,"Accrding to archive.org snapshots of the  URL on the left, the policy must have been introduced between Oct 12, 2014 and Nov 14, 2014."
PLoS Computational Biology,,,PLoS,,,,,,,
PLoS Genetics,,,PLoS,,,,,,,
PLoS Medicine,,,PLoS,,,,,,,
PLoS Neglected Tropical Diseases,,,PLoS,,,,,,,
PLoS ONE,,,PLoS,,,,,,,
PLoS Pathogens,,,PLoS,,,,,,,
PNAS,,,National Academy of Sciences,,,,,,,
Population Health Metrics,,,BMC,,,,,,,
"Proceedings of the Royal Society of London. Series B, Biological sciences",,Royal Society of London,Royal Society Publishing,mandatory requirement,,,,,,
Science,,American Association for the Advancement of Science (AAAS),AAAS,"Large data sets with no appropriate approved repository must be housed as supporting online material at Science, or only when this is not possible, on an archived institutional Web site, provided a copy of the data is held in escrow at Science to ensure availability to readers",,,,,,
Systematic Biology,Syst. Biol.,Society for Systematic Biology,OUP,"adopted JDAP ""in principle"" -- will be requiring data submission for manuscript review in late 2010",Required,01.01.2010-31.12.2010,Y,6/22/2011,http://www.oxfordjournals.org/our_journals/sysbio/for_authors/ms_preparation.html,
Transboundary and Emerging Diseases,,,Wiley-Blackwell,,,,,,,
Virology Journal,,,BMC,,,,,,,
Animal Behaviour,Anim. Behav.,,Elsevier,Encourages data sharing upon request,Encouraged,-,,,http://www.elsevier.com/journals/animal-behaviour/0003-3472/guide-for-authors,
